Date/Time,Lat,Lon,Base
2014/4/1 07:00:00,40.7236,-74.0016,B02512
2014/4/1 07:00:00,40.699,-73.9951,B02512
2014/4/1 07:00:00,40.7581,-73.9219,B02512
2014/4/1 07:01:00,40.768,-73.9191,B02512
2014/4/1 07:02:00,40.7677,-73.9897,B02512
2014/4/1 07:02:00,40.771,-73.866,B02512
2014/4/1 07:03:00,40.7808,-73.9487,B02512
2014/4/1 07:06:00,40.7147,-74.0362,B02512
2014/4/1 07:07:00,40.7732,-73.9504,B02512
2014/4/1 07:08:00,40.7335,-74.0043,B02512
2014/4/1 07:08:00,40.7754,-73.9782,B02512
2014/4/1 07:09:00,40.7752,-73.9455,B02512
2014/4/1 07:09:00,40.7243,-74.0021,B02512
2014/4/1 07:09:00,40.7786,-73.9512,B02512
2014/4/1 07:11:00,40.7877,-73.9788,B02512
2014/4/1 07:12:00,40.8674,-73.8822,B02512
2014/4/1 07:14:00,40.7678,-73.9704,B02512
2014/4/1 07:15:00,40.7749,-73.9587,B02512
2014/4/1 07:15:00,40.7209,-73.9813,B02512
2014/4/1 07:17:00,40.756,-73.9752,B02512
2014/4/1 07:17:00,40.7923,-73.9676,B02512
2014/4/1 07:20:00,40.739,-73.9991,B02512
2014/4/1 07:21:00,40.7273,-73.9797,B02512
2014/4/1 07:22:00,40.7751,-73.9475,B02512
2014/4/1 07:22:00,40.7406,-73.9983,B02512
2014/4/1 07:23:00,40.8364,-74.1461,B02512
2014/4/1 07:24:00,40.7452,-73.991,B02512
2014/4/1 07:25:00,40.7805,-73.9481,B02512
2014/4/1 07:25:00,40.7805,-73.9481,B02512
2014/4/1 07:26:00,40.7814,-73.9513,B02512
2014/4/1 07:26:00,40.7864,-73.9699,B02512
2014/4/1 07:27:00,40.783,-73.9559,B02512
2014/4/1 07:28:00,40.7582,-73.9928,B02512
2014/4/1 07:29:00,40.7216,-74.0046,B02512
2014/4/1 07:29:00,40.7298,-73.9988,B02512
2014/4/1 07:29:00,40.7746,-73.956,B02512
2014/4/1 07:30:00,40.7208,-73.994,B02512
2014/4/1 07:32:00,40.7669,-73.9617,B02512
2014/4/1 07:32:00,40.7084,-74.0064,B02512
2014/4/1 07:35:00,40.7425,-73.9942,B02512
