Date/Time,Lat,Lon,Base
2014/7/1 07:34:00,40.7673,-73.9862,B02512
2014/7/1 07:38:00,40.7853,-73.9538,B02512
2014/7/1 07:38:00,40.7691,-73.96,B02512
2014/7/1 07:38:00,40.7367,-73.9789,B02512
2014/7/1 07:39:00,40.755,-73.9765,B02512
2014/7/1 07:39:00,40.7782,-73.959,B02512
2014/7/1 07:40:00,40.7232,-74.0025,B02512
2014/7/1 07:41:00,40.7347,-74.0005,B02512
2014/7/1 07:41:00,40.7588,-73.9861,B02512
2014/7/1 07:42:00,40.7225,-74.0053,B02512
2014/7/1 07:42:00,40.759,-73.9858,B02512
2014/7/1 07:42:00,40.7285,-73.9855,B02512
2014/7/1 07:44:00,40.7462,-73.9835,B02512
2014/7/1 07:44:00,40.7434,-73.9935,B02512
2014/7/1 07:45:00,40.7779,-73.9786,B02512
2014/7/1 07:45:00,40.7378,-74.0082,B02512
2014/7/1 07:49:00,40.7677,-73.9915,B02512
2014/7/1 07:49:00,40.7299,-73.9884,B02512
2014/7/1 07:50:00,40.7715,-73.9472,B02512
2014/7/1 07:50:00,40.7436,-74.006,B02512
2014/7/1 07:52:00,40.7673,-73.9536,B02512
2014/7/1 07:55:00,40.7976,-73.9708,B02512
2014/7/1 08:00:00,40.7445,-73.9948,B02512
2014/7/1 08:01:00,40.7844,-73.9486,B02512
2014/7/1 08:02:00,40.7836,-73.9709,B02512
2014/7/1 08:03:00,40.7469,-73.9926,B02512
2014/7/1 08:03:00,40.7254,-74.0054,B02512
2014/7/1 08:04:00,40.7597,-73.9803,B02512
2014/7/1 08:05:00,40.724,-73.9878,B02512
2014/7/1 08:05:00,40.724,-73.9878,B02512
2014/7/1 08:08:00,40.7243,-73.9854,B02512
2014/7/1 08:09:00,40.715,-74.0158,B02512
2014/7/1 08:10:00,40.7825,-73.9729,B02512
2014/7/1 08:10:00,40.7404,-73.9794,B02512
2014/7/1 08:11:00,40.7874,-73.9704,B02512
2014/7/1 08:12:00,40.6603,-73.9603,B02512
2014/7/1 08:13:00,40.7237,-73.9854,B02512
2014/7/1 08:16:00,40.7439,-74.0063,B02512
2014/7/1 08:17:00,40.7334,-74.0047,B02512
2014/7/1 08:17:00,40.7474,-73.9767,B02512
2014/7/1 08:17:00,40.7652,-73.9615,B02512
2014/7/1 08:17:00,40.7219,-74.0118,B02512
2014/7/1 08:21:00,40.7513,-73.9762,B02512
2014/7/1 08:23:00,40.7302,-73.9796,B02512
2014/7/1 08:26:00,40.7411,-73.9935,B02512
2014/7/1 08:27:00,40.7828,-73.9532,B02512
2014/7/1 08:27:00,40.7325,-73.9969,B02512
2014/7/1 08:27:00,40.7557,-73.9736,B02512
2014/7/1 08:27:00,40.7557,-73.9736,B02512
2014/7/1 08:30:00,40.7442,-73.989,B02512
2014/7/1 08:30:00,40.7336,-73.9762,B02512
2014/7/1 08:31:00,40.7501,-73.9911,B02512
2014/7/1 08:34:00,40.7439,-73.989,B02512
2014/7/1 08:36:00,40.7405,-73.9982,B02512
2014/7/1 08:37:00,40.707,-74.0045,B02512
2014/7/1 08:37:00,40.7252,-73.9991,B02512
2014/7/1 08:39:00,40.7313,-74.0101,B02512
2014/7/1 08:39:00,40.7265,-74.0068,B02512
2014/7/1 08:40:00,40.7214,-73.9988,B02512
2014/7/1 08:41:00,40.7715,-73.9886,B02512
2014/7/1 08:42:00,40.8073,-74.2178,B02512
2014/7/1 08:47:00,40.7466,-73.9845,B02512
2014/7/1 08:49:00,40.7593,-73.9749,B02512
2014/7/1 08:56:00,40.781,-73.9858,B02512
2014/7/1 08:57:00,40.7681,-73.9915,B02512
2014/7/1 08:57:00,40.7286,-73.9994,B02512
2014/7/1 09:01:00,40.7865,-73.9688,B02512
2014/7/1 09:02:00,40.7209,-73.9566,B02512
2014/7/1 09:04:00,40.7261,-74.0058,B02512
2014/7/1 09:05:00,40.7267,-73.9995,B02512
2014/7/1 09:07:00,40.7313,-73.9824,B02512
2014/7/1 09:08:00,40.7758,-73.9583,B02512
2014/7/1 09:08:00,40.714,-74.0145,B02512
2014/7/1 09:12:00,40.719,-73.989,B02512
2014/7/1 09:13:00,40.7697,-73.9805,B02512
2014/7/1 09:14:00,40.7522,-73.9777,B02512
2014/7/1 09:14:00,40.7655,-73.9612,B02512
2014/7/1 09:17:00,40.795,-73.9735,B02512
2014/7/1 09:17:00,40.7344,-73.9977,B02512
2014/7/1 09:19:00,40.7366,-73.997,B02512
2014/7/1 09:20:00,40.7582,-73.9871,B02512
2014/7/1 09:20:00,40.7582,-73.9871,B02512
2014/7/1 09:22:00,40.7301,-73.9855,B02512
2014/7/1 09:23:00,40.7599,-73.9746,B02512
2014/7/1 09:25:00,40.7624,-73.9783,B02512
2014/7/1 09:27:00,40.7363,-74.0076,B02512
2014/7/1 09:29:00,40.8057,-73.2931,B02512
2014/7/1 09:30:00,40.7614,-73.9677,B02512
2014/7/1 09:33:00,40.7389,-74.0087,B02512
2014/7/1 09:33:00,40.6912,-74.1779,B02512
2014/7/1 09:34:00,40.7612,-73.9713,B02512
2014/7/1 09:35:00,40.7217,-74.006,B02512
2014/7/1 09:36:00,40.7902,-73.9731,B02512
2014/7/1 09:36:00,40.7609,-73.98,B02512
2014/7/1 09:37:00,40.7576,-73.9789,B02512
2014/7/1 09:38:00,40.771,-73.8661,B02512
2014/7/1 09:40:00,40.6639,-73.9455,B02512
2014/7/1 09:44:00,40.744,-73.9839,B02512
2014/7/1 09:45:00,40.7386,-73.9977,B02512
2014/7/1 09:46:00,40.7563,-73.9246,B02512
2014/7/1 09:49:00,40.7465,-74.0082,B02512
2014/7/1 09:50:00,40.7352,-74.1649,B02512
2014/7/1 09:52:00,40.7275,-73.9905,B02512
2014/7/1 09:54:00,40.7141,-74.0094,B02512
2014/7/1 09:54:00,40.7708,-73.8657,B02512
2014/7/1 09:55:00,40.7605,-73.9912,B02512
2014/7/1 09:56:00,40.7509,-73.9934,B02512
2014/7/1 10:00:00,40.753,-74.004,B02512
2014/7/1 10:00:00,40.7215,-73.9583,B02512
2014/7/1 10:01:00,40.6911,-73.9076,B02512
2014/7/1 10:05:00,40.7698,-73.9817,B02512
2014/7/1 10:06:00,40.7609,-73.9756,B02512
2014/7/1 10:12:00,40.7544,-73.9694,B02512
2014/7/1 10:14:00,40.7752,-73.965,B02512
2014/7/1 10:15:00,40.7372,-73.9884,B02512
2014/7/1 10:17:00,40.8021,-73.9694,B02512
2014/7/1 10:19:00,40.7514,-73.9752,B02512
2014/7/1 10:20:00,40.7356,-74.0037,B02512
2014/7/1 10:21:00,40.7263,-73.9993,B02512
2014/7/1 10:24:00,40.7807,-73.9557,B02512
2014/7/1 10:24:00,40.7712,-73.9662,B02512
2014/7/1 10:25:00,40.7537,-73.9787,B02512
2014/7/1 10:26:00,40.7413,-73.9847,B02512
2014/7/1 10:27:00,40.7481,-73.9926,B02512
2014/7/1 10:30:00,40.7629,-73.966,B02512
2014/7/1 10:33:00,40.7886,-73.9669,B02512
2014/7/1 10:37:00,40.7177,-73.9965,B02512
2014/7/1 10:38:00,40.7467,-73.9728,B02512
2014/7/1 10:39:00,40.6462,-73.7899,B02512
2014/7/1 10:39:00,40.7226,-73.9977,B02512
2014/7/1 10:40:00,40.7658,-73.9834,B02512
2014/7/1 10:43:00,40.744,-73.9879,B02512
2014/7/1 10:44:00,40.757,-73.974,B02512
2014/7/1 10:45:00,40.7425,-73.9959,B02512
2014/7/1 10:45:00,40.7352,-74.0015,B02512
2014/7/1 10:46:00,40.7655,-73.97,B02512
2014/7/1 10:48:00,40.7519,-73.9709,B02512
2014/7/1 10:50:00,40.6468,-73.7905,B02512
2014/7/1 10:51:00,40.7691,-73.981,B02512
2014/7/1 10:51:00,40.7191,-74.0052,B02512
2014/7/1 10:53:00,40.725,-73.996,B02512
2014/7/1 10:53:00,40.746,-73.9999,B02512
2014/7/1 10:53:00,40.7343,-73.9949,B02512
2014/7/1 10:54:00,40.7198,-73.9943,B02512
2014/7/1 10:54:00,40.6472,-74.0001,B02512
2014/7/1 10:55:00,40.7437,-73.9926,B02512
2014/7/1 10:56:00,40.55,-74.4099,B02512
2014/7/1 10:56:00,40.7547,-73.9837,B02512
2014/7/1 10:56:00,40.7582,-73.9897,B02512
2014/7/1 10:58:00,40.7744,-73.9821,B02512
2014/7/1 11:00:00,40.7571,-73.9744,B02512
2014/7/1 11:00:00,40.8584,-73.9346,B02512
2014/7/1 11:03:00,40.7582,-73.9653,B02512
2014/7/1 11:03:00,40.721,-74.0084,B02512
2014/7/1 11:04:00,40.7559,-73.9833,B02512
2014/7/1 11:06:00,40.7512,-73.9754,B02512
2014/7/1 11:07:00,40.7174,-73.9984,B02512
2014/7/1 11:11:00,40.7674,-73.9551,B02512
2014/7/1 11:13:00,40.7781,-73.9748,B02512
2014/7/1 11:15:00,40.7238,-74.0106,B02512
2014/7/1 11:16:00,40.7771,-73.9779,B02512
2014/7/1 11:18:00,40.7507,-73.987,B02512
2014/7/1 11:19:00,40.7661,-73.9697,B02512
2014/7/1 11:19:00,40.7627,-73.9967,B02512
2014/7/1 11:22:00,40.7272,-73.9899,B02512
2014/7/1 11:24:00,40.7587,-73.979,B02512
2014/7/1 11:24:00,40.7594,-73.9677,B02512
2014/7/1 11:28:00,40.7199,-74.0033,B02512
2014/7/1 11:28:00,40.7192,-73.9483,B02512
2014/7/1 11:29:00,40.7759,-73.9586,B02512
2014/7/1 11:29:00,40.773,-73.9644,B02512
2014/7/1 11:30:00,40.7205,-73.9632,B02512
2014/7/1 11:31:00,40.7648,-73.9959,B02512
2014/7/1 11:33:00,40.7376,-74.0058,B02512
2014/7/1 11:33:00,40.7402,-73.9823,B02512
2014/7/1 11:33:00,40.7666,-73.9539,B02512
2014/7/1 11:34:00,40.7593,-73.9648,B02512
2014/7/1 11:35:00,40.7697,-73.9819,B02512
2014/7/1 11:36:00,40.7332,-73.9934,B02512
2014/7/1 11:37:00,40.78,-73.9733,B02512
2014/7/1 11:38:00,40.7188,-74.0105,B02512
2014/7/1 11:40:00,40.7263,-74.0002,B02512
2014/7/1 11:40:00,40.7616,-73.9733,B02512
2014/7/1 11:43:00,40.7298,-73.9969,B02512
2014/7/1 11:43:00,40.7615,-73.9661,B02512
2014/7/1 11:43:00,40.7718,-73.9827,B02512
2014/7/1 11:45:00,40.9467,-73.9807,B02512
2014/7/1 11:47:00,40.808,-73.9638,B02512
2014/7/1 11:48:00,40.748,-73.972,B02512
2014/7/1 11:49:00,40.7376,-74.0067,B02512
2014/7/1 11:49:00,40.7565,-73.9898,B02512
2014/7/1 11:51:00,40.7666,-73.9885,B02512
2014/7/1 11:56:00,40.7112,-74.0059,B02512
2014/7/1 11:56:00,40.6808,-73.9633,B02512
2014/7/1 11:56:00,40.7467,-74.0049,B02512
2014/7/1 11:57:00,40.7048,-74.1819,B02512
2014/7/1 11:59:00,40.7748,-73.9605,B02512
2014/7/1 12:01:00,40.7218,-74.0098,B02512
2014/7/1 12:04:00,40.7716,-73.9563,B02512
2014/7/1 12:05:00,40.728,-74.0072,B02512
2014/7/1 12:05:00,40.7325,-74.0037,B02512
2014/7/1 12:07:00,40.7355,-73.9882,B02512
2014/7/1 12:09:00,40.7052,-73.7252,B02512
2014/7/1 12:09:00,40.9354,-73.8988,B02512
2014/7/1 12:09:00,40.6447,-73.782,B02512
2014/7/1 12:09:00,40.7469,-73.9847,B02512
2014/7/1 12:10:00,40.6672,-73.632,B02512
2014/7/1 12:10:00,40.7653,-73.9639,B02512
2014/7/1 12:13:00,40.7577,-73.986,B02512
2014/7/1 12:14:00,40.7155,-73.9972,B02512
2014/7/1 12:17:00,40.7672,-73.988,B02512
2014/7/1 12:17:00,40.767,-73.9876,B02512
2014/7/1 12:19:00,40.7647,-73.9805,B02512
2014/7/1 12:19:00,40.7394,-74.0065,B02512
2014/7/1 12:21:00,40.7578,-73.9618,B02512
2014/7/1 12:21:00,40.7865,-73.9503,B02512
2014/7/1 12:24:00,40.7709,-73.8659,B02512
2014/7/1 12:27:00,40.7681,-73.9833,B02512
2014/7/1 12:27:00,40.6437,-73.79,B02512
2014/7/1 12:28:00,40.7696,-73.864,B02512
2014/7/1 12:29:00,40.7457,-73.9938,B02512
2014/7/1 12:32:00,40.7247,-73.9576,B02512
2014/7/1 12:33:00,40.6938,-73.9925,B02512
2014/7/1 12:34:00,40.6894,-74.1792,B02512
2014/7/1 12:36:00,40.7632,-73.9739,B02512
2014/7/1 12:38:00,40.7629,-73.9796,B02512
2014/7/1 12:38:00,40.7626,-73.9751,B02512
2014/7/1 12:39:00,40.7562,-73.9789,B02512
2014/7/1 12:40:00,40.8487,-74.0229,B02512
2014/7/1 12:41:00,40.7752,-73.9594,B02512
2014/7/1 12:45:00,40.7642,-73.9767,B02512
2014/7/1 12:47:00,40.6446,-73.782,B02512
2014/7/1 12:47:00,40.7201,-74.0086,B02512
2014/7/1 12:48:00,40.714,-74.0078,B02512
2014/7/1 12:50:00,40.7639,-73.971,B02512
2014/7/1 12:51:00,40.7238,-74.0093,B02512
2014/7/1 12:55:00,40.7502,-73.9947,B02512
